source,path,display,category,subcategory,hits,score,meta,when
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140Z_43072_Spring_2025.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140Z_43072_Spring_2025.pdf,Debug,AnyText,405,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140Z_43072_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140Z_43072_Spring_2025_Comments.pdf,Debug,AnyText,70,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_250_40236_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_250_40236_Spring_2025_Comments.pdf,Debug,AnyText,211,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_240_43073_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_240_43073_Spring_2025_Comments.pdf,Debug,AnyText,89,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140_43071_Spring_2025.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140_43071_Spring_2025.pdf,Debug,AnyText,386,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_234_42838_Spring_2025.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_234_42838_Spring_2025.pdf,Debug,AnyText,386,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_250_40236_Spring_2025.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_250_40236_Spring_2025.pdf,Debug,AnyText,386,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_234_42838_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_234_42838_Spring_2025_Comments.pdf,Debug,AnyText,168,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_240_43073_Spring_2025.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_240_43073_Spring_2025.pdf,Debug,AnyText,387,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140_43071_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSP_140_43071_Spring_2025_Comments.pdf,Debug,AnyText,86,25,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_234_42838_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_234_42838_Spring_2025_Comments.pdf,Teaching,Assignments,1,1,mtime 2025-06-06T07:50:00+00:00,2025-06-06
files,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_250_40236_Spring_2025_Comments.pdf,/Users/andrewbajorek/Downloads/2025 - CMU - ADB Evals/Bajorek_Andrew_MUSA_250_40236_Spring_2025_Comments.pdf,Teaching,Exams,1,1,mtime 2025-06-06T07:50:00+00:00,2025-06-06
